freq	prev	p.freq	p.prev	p	contaminant
328552	4.36518243188689e-06	1	NA	NA	NA	FALSE
1355477	0.00029639814537479	16	NA	0.984948002189381	0.984948002189381	FALSE
1437360	0.00143744095155394	17	NA	0.98957938613111	0.98957938613111	FALSE
1325090	0.000347153282574095	14	NA	0.971264367816092	0.971264367816092	FALSE
1325115	0.000298038805986136	15	NA	0.978927203065134	0.978927203065134	FALSE
1274631	0.00127582091707756	17	NA	0.98957938613111	0.98957938613111	FALSE
375	0.000368755904678048	16	NA	0.984948002189381	0.984948002189381	FALSE
722472	0.00110064817112842	17	NA	0.98957938613111	0.98957938613111	FALSE
43992	2.45586201984828e-06	1	NA	NA	NA	FALSE
44255	0	0	NA	NA	NA	FALSE
931866	0.000328112995104199	15	NA	0.978927203065134	0.978927203065134	FALSE
190148	0.000870330266881724	16	NA	0.984948002189381	0.984948002189381	FALSE
190045	0.000152596258287948	12	NA	0.949896846448571	0.949896846448571	FALSE
1179474	0.000199101886916931	14	NA	0.971264367816092	0.971264367816092	FALSE
1534861	4.36518243188689e-06	1	NA	NA	NA	FALSE
1534875	6.15763546798034e-06	1	NA	NA	NA	FALSE
1839751	0.000226269321264414	14	NA	0.971264367816092	0.971264367816092	FALSE
907377	2.45586201984828e-06	1	NA	NA	NA	FALSE
288000	0.000303164136038716	16	NA	0.984948002189381	0.984948002189381	FALSE
1223566	0.000534947829736664	17	NA	0.98957938613111	0.98957938613111	FALSE
1839752	0.000269518724105882	13	NA	0.961685823754789	0.961685823754789	FALSE
722413	3.07881773399017e-06	1	NA	NA	NA	FALSE
115808	0.000347208180309518	16	NA	0.984948002189381	0.984948002189381	FALSE
167468	0.000683829171747294	16	NA	0.984948002189381	0.984948002189381	FALSE
911	2.27463755077579e-05	8	NA	0.874005305039788	0.874005305039788	FALSE
912	0	0	NA	NA	NA	FALSE
913	0	0	NA	NA	NA	FALSE
1073	9.08846139629783e-07	3	NA	0.68527640941434	0.68527640941434	FALSE
1076	0.000554571477555534	15	NA	0.978927203065134	0.978927203065134	FALSE
1395974	0.000277715940636185	16	NA	0.984948002189381	0.984948002189381	FALSE
943830	5.26140894993361e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
1649510	0	0	NA	NA	NA	FALSE
1333996	0.000200090244992384	16	NA	0.984948002189381	0.984948002189381	FALSE
2831104	0	0	NA	NA	NA	FALSE
1406135	0.000129187156358237	12	NA	0.949896846448571	0.949896846448571	FALSE
118882	9.3894717408384e-06	5	NA	0.7763041556145	0.7763041556145	FALSE
234	9.79242928983474e-05	11	NA	0.935581659719591	0.935581659719591	FALSE
529	5.06895501561864e-05	7	NA	0.846006483937518	0.846006483937518	FALSE
571256	1.80546888296938e-05	2	NA	0.630541871921182	0.630541871921182	FALSE
419475	2.18259121594344e-06	1	NA	NA	NA	FALSE
1149953	0.000465983224603914	1	NA	NA	NA	FALSE
1885919	2.45586201984828e-06	1	NA	NA	NA	FALSE
528	2.22334581630901e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
2036754	0	0	NA	NA	NA	FALSE
28209	0.000104535175902607	14	NA	0.971264367816092	0.971264367816092	FALSE
444444	4.36390511406376e-05	7	NA	0.846006483937518	0.846006483937518	FALSE
1702325	0.000352975976162054	17	NA	0.900425245252831	0.900425245252831	FALSE
655351	0	0	NA	NA	NA	FALSE
655352	0	0	NA	NA	NA	FALSE
1798205	2.45586201984828e-06	1	NA	NA	NA	FALSE
2831106	9.14196771987588e-05	13	NA	0.961685823754789	0.961685823754789	FALSE
46913	0.000152807793595354	16	NA	0.984948002189381	0.984948002189381	FALSE
1736675	0.000145057166833635	15	NA	0.978927203065134	0.978927203065134	FALSE
1082930	0	0	NA	NA	NA	FALSE
531813	0	0	NA	NA	NA	FALSE
1827478	0	0	NA	NA	NA	FALSE
1447062	5.40896590187894e-06	1	NA	NA	NA	FALSE
45401	4.96008766994049e-05	9	NA	0.898004294556019	0.898004294556019	FALSE
2827482	0	0	NA	NA	NA	FALSE
169176	0	0	NA	NA	NA	FALSE
119044	0	0	NA	NA	NA	FALSE
